Date,Event,Treatment,Bin,Site,Species,Anemone_ID,Width,Length,Diagonal,Average_Diameter
05-Nov,Before heatwave,Control,L,Foreshore,Aggregating ,A12F,30,20.2,28.1,26.1
05-Nov,Before heatwave,Control,L,Bluestone,Aggregating ,A57B,19.4,25.9,22.9,22.73
05-Nov,Before heatwave,Control,M,Foreshore,Aggregating ,A24F,23.8,24.1,27,24.97
05-Nov,Before heatwave,Control,M,Bluestone,Aggregating ,A43B,14.4,14,21.5,16.63
05-Nov,Before heatwave,Control,M,Bluestone,Aggregating ,A59B,NA,NA,NA,NA
05-Nov,Before heatwave,Control,N,Foreshore,Aggregating ,A2F,15.2,27,20.1,20.77
05-Nov,Before heatwave,Control,N,Foreshore,Aggregating ,A10F,24.9,28.7,24.1,25.9
05-Nov,Before heatwave,Control,N,Scotts,Aggregating ,A29S,16.3,22,24.2,20.83
05-Nov,Before heatwave,Control,O,Foreshore,Aggregating ,A21F,15,20.3,23,19.43
05-Nov,Before heatwave,Control,O,Scotts,Aggregating ,A27S,19.5,22,20.9,20.8
05-Nov,Before heatwave,Control,O,Bluestone,Aggregating ,A54B,17.3,25.6,27.7,23.53
09-Nov,After heatwave,25C,A,Foreshore,Aggregating ,A25F,22.9,25,22.2,23.37
09-Nov,After heatwave,25C,A,Bluestone,Aggregating ,A47B,9.6,17.7,16.9,14.73
09-Nov,After heatwave,25C,A,Bluestone,Aggregating ,A55B,29.4,15.6,22.2,22.4
09-Nov,After heatwave,25C,B,Foreshore,Aggregating ,A15F,22.2,18.6,20.8,20.53
09-Nov,After heatwave,25C,B,Scotts,Aggregating ,A42S,28.1,14.5,21.1,21.23
09-Nov,After heatwave,25C,B,Foreshore,Aggregating ,A6F,48.5,10.4,27.7,28.87
09-Nov,After heatwave,25C,C,Scotts,Aggregating ,A30S,22.6,16.3,20.7,19.87
09-Nov,After heatwave,25C,C,Bluestone,Aggregating ,A44B,22.8,18.5,22.8,21.37
09-Nov,After heatwave,25C,C,Bluestone,Aggregating ,A46B,33.5,28.8,24.2,28.83
09-Nov,After heatwave,25C,D,Foreshore,Aggregating ,A13F,29.5,21.9,24.9,25.43
09-Nov,After heatwave,25C,D,Foreshore,Aggregating ,A16F,22,9.1,8.8,13.3
09-Nov,After heatwave,25C,D,Scotts,Aggregating ,A41S,31.6,15.6,28.1,25.1
09-Nov,After heatwave,25C,E,Scotts,Aggregating ,A28S,25.9,16.7,24,22.2
09-Nov,After heatwave,25C,E,Scotts,Aggregating ,A35S,19.7,16.2,17.2,17.7
09-Nov,After heatwave,25C,E,Bluestone,Aggregating ,A49B,32.6,19.6,23.7,25.3
09-Nov,After heatwave,30C,F,Foreshore,Aggregating ,A26F,23.2,18.6,20.7,20.83
09-Nov,After heatwave,30C,F,Scotts,Aggregating ,A34S,30.7,29.2,29.6,29.83
09-Nov,After heatwave,30C,F,Foreshore,Aggregating ,A4F,16.4,17.1,15,16.17
09-Nov,After heatwave,30C,G,Foreshore,Aggregating ,A14F,25.1,17.8,22.3,21.73
09-Nov,After heatwave,30C,G,Bluestone,Aggregating ,A45B,26.1,15.8,17.6,19.83
09-Nov,After heatwave,30C,G,Bluestone,Aggregating ,A56B,54.6,24.5,36.8,38.63
09-Nov,After heatwave,30C,H,Foreshore,Aggregating ,A22F,22.2,25.8,28.6,25.53
09-Nov,After heatwave,30C,H,Scotts,Aggregating ,A37S,35.8,19,29.1,27.97
09-Nov,After heatwave,30C,H,Bluestone,Aggregating ,A51B,26.7,16.3,16.6,19.87
09-Nov,After heatwave,30C,I,Scotts,Aggregating ,A38S,31.8,24.6,28.9,28.43
09-Nov,After heatwave,30C,I,Bluestone,Aggregating ,A50B,22,19.4,27.3,22.9
09-Nov,After heatwave,30C,I,Bluestone,Aggregating ,A60B,34.3,11.6,13.2,19.7
09-Nov,After heatwave,30C,J,Foreshore,Aggregating ,A1F,37,23.5,29.8,30.1
09-Nov,After heatwave,30C,J,Foreshore,Aggregating ,A23F,24.9,20.2,23.5,22.87
09-Nov,After heatwave,30C,J,Foreshore,Aggregating ,A5F,22,16.6,18.1,18.9
09-Nov,After heatwave,Control,K,Foreshore,Aggregating ,A18F,25.5,18.1,26,23.2
09-Nov,After heatwave,Control,K,Foreshore,Aggregating ,A19F,20.1,24.9,12,19
09-Nov,After heatwave,Control,K,Scotts,Aggregating ,A39S,19.1,21.6,20.8,20.5
09-Nov,After heatwave,Control,L,Foreshore,Aggregating ,A12F,26.8,14.5,27.7,23
09-Nov,After heatwave,Control,L,Foreshore,Aggregating ,A3F,28.2,19.3,27.7,25.07
09-Nov,After heatwave,Control,L,Bluestone,Aggregating ,A57B,19.7,12.6,17.2,16.5
09-Nov,After heatwave,Control,M,Foreshore,Aggregating ,A24F,30.5,24.8,31.9,29.07
09-Nov,After heatwave,Control,M,Bluestone,Aggregating ,A43B,20,13.9,14.9,16.27
09-Nov,After heatwave,Control,M,Bluestone,Aggregating ,A59B,15.6,18.4,17.2,17.07
09-Nov,After heatwave,Control,N,Foreshore,Aggregating ,A10F,30.1,15.2,20,21.77
09-Nov,After heatwave,Control,N,Scotts,Aggregating ,A29S,36.5,12.9,22,23.8
09-Nov,After heatwave,Control,N,Foreshore,Aggregating ,A2F,33,20.3,22.7,25.33
09-Nov,After heatwave,Control,O,Foreshore,Aggregating ,A21F,33.5,20.3,24,25.93
09-Nov,After heatwave,Control,O,Scotts,Aggregating ,A27S,25.9,14.8,19.5,20.07
09-Nov,After heatwave,Control,O,Bluestone,Aggregating ,A54B,NA,NA,NA,NA
13-Nov,Recovery,25C,A,Foreshore,Aggregating ,A25F,NA,NA,NA,NA
13-Nov,Recovery,25C,A,Bluestone,Aggregating ,A47B,19.5,14.4,17.1,17
13-Nov,Recovery,25C,A,Bluestone,Aggregating ,A55B,NA,NA,NA,NA
13-Nov,Recovery,25C,B,Foreshore,Aggregating ,A15F,22.3,17.4,21.1,20.27
13-Nov,Recovery,25C,B,Scotts,Aggregating ,A42S,19.3,17.3,19.3,18.63
13-Nov,Recovery,25C,B,Foreshore,Aggregating ,A6F,44.5,7.2,29,26.9
13-Nov,Recovery,25C,C,Scotts,Aggregating ,A30S,31.1,15.4,19.2,21.9
13-Nov,Recovery,25C,C,Bluestone,Aggregating ,A44B,28.3,13,18.1,19.8
13-Nov,Recovery,25C,C,Bluestone,Aggregating ,A46B,33.2,30.6,34.2,32.67
13-Nov,Recovery,25C,D,Foreshore,Aggregating ,A13F,24.4,8.4,11.2,14.67
13-Nov,Recovery,25C,D,Foreshore,Aggregating ,A16F,31.6,18.8,28.6,26.33
13-Nov,Recovery,25C,D,Scotts,Aggregating ,A41S,32.4,18.3,30.7,27.13
13-Nov,Recovery,25C,E,Scotts,Aggregating ,A28S,28,23.8,23.1,24.97
13-Nov,Recovery,25C,E,Scotts,Aggregating ,A35S,20.5,13.1,12,15.2
13-Nov,Recovery,25C,E,Bluestone,Aggregating ,A49B,31.3,26.4,25.3,27.67
13-Nov,Recovery,30C,F,Foreshore,Aggregating ,A26F,34.1,14,24.1,24.07
13-Nov,Recovery,30C,F,Scotts,Aggregating ,A34S,25.5,29.4,31.1,28.67
13-Nov,Recovery,30C,F,Foreshore,Aggregating ,A4F,28.3,20.4,23,23.9
13-Nov,Recovery,30C,G,Foreshore,Aggregating ,A14F,23.4,21.3,21,21.9
13-Nov,Recovery,30C,G,Bluestone,Aggregating ,A45B,25.7,19.2,26.2,23.7
13-Nov,Recovery,30C,G,Bluestone,Aggregating ,A56B,37,36.5,43.2,38.9
13-Nov,Recovery,30C,H,Foreshore,Aggregating ,A22F,33.8,21.9,18.6,24.77
13-Nov,Recovery,30C,H,Scotts,Aggregating ,A37S,48,18.6,31.5,32.7
13-Nov,Recovery,30C,H,Bluestone,Aggregating ,A51B,20.5,21.3,21.3,21.03
13-Nov,Recovery,30C,I,Scotts,Aggregating ,A38S,27.2,20,24.4,23.87
13-Nov,Recovery,30C,I,Bluestone,Aggregating ,A50B,30.5,19.4,25.3,25.07
13-Nov,Recovery,30C,I,Bluestone,Aggregating ,A60B,32.3,24.4,30.2,28.97
13-Nov,Recovery,30C,J,Foreshore,Aggregating ,A1F,29.4,25.9,25.3,26.87
13-Nov,Recovery,30C,J,Foreshore,Aggregating ,A23F,25.3,17.4,23.1,21.93
13-Nov,Recovery,30C,J,Foreshore,Aggregating ,A5F,26.3,18.3,21.9,22.17
13-Nov,Recovery,Control,K,Foreshore,Aggregating ,A18F,25.5,23,24.6,24.37
13-Nov,Recovery,Control,K,Foreshore,Aggregating ,A19F,26.4,20.4,25.1,23.97
13-Nov,Recovery,Control,K,Scotts,Aggregating ,A39S,29,16.2,24.1,23.1
13-Nov,Recovery,Control,L,Foreshore,Aggregating ,A12F,30.3,21.2,26.4,25.97
13-Nov,Recovery,Control,L,Foreshore,Aggregating ,A3F,31.5,19,22.7,24.4
13-Nov,Recovery,Control,L,Bluestone,Aggregating ,A57B,23.1,18.5,21.6,21.07
13-Nov,Recovery,Control,M,Foreshore,Aggregating ,A24F,36.2,20.7,24.4,27.1
13-Nov,Recovery,Control,M,Bluestone,Aggregating ,A43B,23,13.6,20.4,19
13-Nov,Recovery,Control,M,Bluestone,Aggregating ,A59B,20.5,11.6,18.6,16.9
13-Nov,Recovery,Control,N,Foreshore,Aggregating ,A10F,30.4,18.2,23.1,23.9
13-Nov,Recovery,Control,N,Scotts,Aggregating ,A29S,23.9,16.4,17.4,19.23
13-Nov,Recovery,Control,N,Foreshore,Aggregating ,A2F,24.6,25.3,22,23.97
13-Nov,Recovery,Control,O,Foreshore,Aggregating ,A21F,17.7,25.8,26.4,23.3
13-Nov,Recovery,Control,O,Scotts,Aggregating ,A27S,22.4,15.5,18,18.63
13-Nov,Recovery,Control,O,Bluestone,Aggregating ,A54B,24,10.2,17.2,17.13
