Date,Treatment,Bin,Site,Anemone_ID,Tentacle_Mass_g,Number_Dino_1,Number_Dino_2,Number_Dino_3,Number_Green_1,Number_Green_2,Number_Green_3,Dividing_Dino_1,Dividing_Dino_2,Dividing_Dino_3,Dividing_Green_1,Dividing_Green_2,Dividing_Green_3,Number_Dino_Average,Number_Green_Average,Dividing_Dino_Average,Dividing_Green_Average
11/5/2021,Control,K,Foreshore,A18F,0.0069,33,44,32,0,1,0,0,1,2,0,0,0,36.33333333,0.333333333,1,0
11/9/2021,Control,K,Foreshore,A18F,0.0197,70,82,63,3,2,0,0,1,0,0,0,0,71.66666667,1.666666667,0.333333333,0
11/13/2021,Control,K,Foreshore,A18F,0.0158,116,141,121,0,0,0,1,4,1,0,0,,126,0,2,0
10/31/2021,Control,K,Foreshore,A19F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,Control,K,Foreshore,A19F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,Control,K,Foreshore,A19F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,Control,K,Foreshore,A19F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,30C,J,Foreshore,A1F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,30C,J,Foreshore,A1F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,30C,J,Foreshore,A1F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,30C,J,Foreshore,A1F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,Control,O,Foreshore,A21F,0.0128,144,132,138,0,0,0,0,3,3,0,0,0,138,0,2,0
11/5/2021,Control,O,Foreshore,A21F,0.017,27,35,60,0,0,0,0,0,1,0,0,0,40.66666667,0,0.333333333,0
11/9/2021,Control,O,Foreshore,A21F,0.0082,76,65,92,2,0,2,0,1,1,0,0,0,77.66666667,1.333333333,0.666666667,0
11/13/2021,Control,O,Foreshore,A21F,0.0273,86,97,131,1,0,0,1,2,3,0,0,0,104.6666667,0.333333333,2,0
10/31/2021,30C,H,Foreshore,A22F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,30C,H,Foreshore,A22F,0.0069,17,47,33,1,1,0,0,0,1,0,0,0,32.33333333,0.666666667,0.333333333,0
11/9/2021,30C,H,Foreshore,A22F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,30C,H,Foreshore,A22F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,30C,J,Foreshore,A23F,0.0044,32,31,35,0,0,0,2,1,1,0,0,0,32.66666667,0,1.333333333,0
11/5/2021,30C,J,Foreshore,A23F,0.0188,120,99,131,1,0,0,3,3,2,0,0,0,116.6666667,0.333333333,2.666666667,0
11/9/2021,30C,J,Foreshore,A23F,0.0073,70,83,87,1,2,0,0,0,1,0,0,0,80,1,0.333333333,0
11/13/2021,30C,J,Foreshore,A23F,0.0154,108,99,88,2,4,2,5,4,3,0,0,0,98.33333333,2.666666667,4,0
10/31/2021,Control,M,Foreshore,A24F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,Control,M,Foreshore,A24F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,Control,M,Foreshore,A24F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,Control,M,Foreshore,A24F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,25C,A,Foreshore,A25F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,25C,A,Foreshore,A25F,0.0099,31,25,12,0,0,0,1,0,0,0,0,0,22.66666667,0,0.333333333,0
11/9/2021,25C,A,Foreshore,A25F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,25C,A,Foreshore,A25F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,30C,F,Foreshore,A26F,0.0022,39,46,46,0,0,1,0,1,1,0,0,0,43.66666667,0.333333333,0.666666667,0
11/5/2021,30C,F,Foreshore,A26F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,30C,F,Foreshore,A26F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,30C,F,Foreshore,A26F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,Control,O,Scotts,A27S,0.0023,16,21,15,0,0,0,0,1,0,0,0,0,17.33333333,0,0.333333333,0
11/5/2021,Control,O,Scotts,A27S,0.0024,17,28,21,0,0,0,1,1,0,0,0,0,22,0,0.666666667,0
11/9/2021,Control,O,Scotts,A27S,0.0152,30,35,34,3,1,0,0,0,0,0,0,0,33,1.333333333,0,0
11/13/2021,Control,O,Scotts,A27S,0.0064,24,34,35,0,0,0,1,0,1,0,0,0,31,0,0.666666667,0
10/31/2021,25C,E,Scotts,A28S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,25C,E,Scotts,A28S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,25C,E,Scotts,A28S,0.0035,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,25C,E,Scotts,A28S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,Control,N,Scotts,A29S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,Control,N,Scotts,A29S,0.0012,13,12,9,1,0,0,1,0,0,0,0,0,11.33333333,0.333333333,0.333333333,0
11/9/2021,Control,N,Scotts,A29S,0.0066,34,30,12,0,0,0,4,2,0,0,0,0,25.33333333,0,2,0
11/13/2021,Control,N,Scotts,A29S,0.01,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,Control,N,Foreshore,A2F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,Control,N,Foreshore,A2F,0.0133,88,52,90,1,5,1,2,1,1,0,0,0,76.66666667,2.333333333,1.333333333,0
11/9/2021,Control,N,Foreshore,A2F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,Control,N,Foreshore,A2F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,25C,C,Scotts,A30S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,25C,C,Scotts,A30S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,25C,C,Scotts,A30S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,25C,C,Scotts,A30S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,30C,F,Scotts,A34S,0.0058,57,36,75,0,0,1,1,1,0,0,0,0,56,0.333333333,0.666666667,0
11/5/2021,30C,F,Scotts,A34S,0.0099,39,43,45,0,1,1,2,2,1,0,0,0,42.33333333,0.666666667,1.666666667,0
11/9/2021,30C,F,Scotts,A34S,0.0073,22,24,24,0,0,0,0,0,0,0,0,0,23.33333333,0,0,0
11/13/2021,30C,F,Scotts,A34S,0.0082,105,84,146,0,0,0,6,4,9,0,0,0,111.6666667,0,6.333333333,0
10/31/2021,25C,E,Scotts,A35S,0.001,13,21,31,0,1,0,0,0,0,0,0,0,21.66666667,0.333333333,0,0
11/5/2021,25C,E,Scotts,A35S,0.0035,28,25,34,0,0,0,0,0,0,0,0,0,29,0,0,0
11/9/2021,25C,E,Scotts,A35S,0.0047,7,8,11,0,0,0,0,0,0,0,0,0,8.666666667,0,0,0
11/13/2021,25C,E,Scotts,A35S,0.0061,21,23,32,0,0,0,0,0,1,0,0,0,25.33333333,0,0.333333333,0
10/31/2021,30C,H,Scotts,A37S,0.0038,38,61,40,5,2,0,0,4,1,0,0,0,46.33333333,2.333333333,1.666666667,0
11/5/2021,30C,H,Scotts,A37S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,30C,H,Scotts,A37S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,30C,H,Scotts,A37S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,30C,I,Scotts,A38S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,30C,I,Scotts,A38S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,30C,I,Scotts,A38S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,30C,I,Scotts,A38S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,Control,K,Scotts,A39S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,Control,K,Scotts,A39S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,Control,K,Scotts,A39S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,Control,K,Scotts,A39S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,Control,L,Foreshore,A3F,0.0031,79,64,65,0,0,2,2,0,2,0,0,0,69.33333333,0.666666667,1.333333333,0
11/5/2021,Control,L,Foreshore,A3F,0.005,45,35,50,2,0,0,0,1,0,0,0,0,43.33333333,0.666666667,0.333333333,0
11/9/2021,Control,L,Foreshore,A3F,0.0155,86,69,61,0,0,0,3,2,0,0,0,0,72,0,1.666666667,0
11/13/2021,Control,L,Foreshore,A3F,0.0093,63,42,62,0,0,0,1,0,0,0,0,0,55.66666667,0,0.333333333,0
10/31/2021,25C,D,Scotts,A41S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,25C,D,Scotts,A41S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,25C,D,Scotts,A41S,0.008,44,52,42,1,0,0,0,0,0,0,0,0,46,0.333333333,0,0
11/13/2021,25C,D,Scotts,A41S,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,25C,B,Scotts,A42S,0.0066,49,51,30,1,1,1,2,2,1,0,0,0,43.33333333,1,1.666666667,0
11/5/2021,25C,B,Scotts,A42S,0.0052,19,19,22,1,2,0,0,2,0,0,0,0,20,1,0.666666667,0
11/9/2021,25C,B,Scotts,A42S,0.004,12,27,16,1,3,0,0,1,0,0,0,0,18.33333333,1.333333333,0.333333333,0
11/13/2021,25C,B,Scotts,A42S,0.0038,17,9,12,1,0,0,0,0,0,0,0,0,12.66666667,0.333333333,0,0
10/31/2021,Control,M,Bluestone,A43B,0.0093,56,61,79,0,0,0,1,0,3,,,,65.33333333,0,1.333333333,#DIV/0!
11/5/2021,Control,M,Bluestone,A43B,0.0082,32,37,39,0,0,0,0,3,1,0,0,0,36,0,1.333333333,0
11/9/2021,Control,M,Bluestone,A43B,0.0162,27,43,18,0,0,0,1,0,0,0,0,0,29.33333333,0,0.333333333,0
11/13/2021,Control,M,Bluestone,A43B,0.0125,73,66,74,0,0,0,0,0,1,0,0,0,71,0,0.333333333,0
10/31/2021,25C,C,Bluestone,A44B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,25C,C,Bluestone,A44B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,25C,C,Bluestone,A44B,0.0147,90,52,42,1,0,1,0,2,4,0,0,0,61.33333333,0.666666667,2,0
11/13/2021,25C,C,Bluestone,A44B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,30C,G,Bluestone,A45B,0.0031,27,26,38,0,0,0,0,0,0,0,0,0,30.33333333,0,0,0
11/5/2021,30C,G,Bluestone,A45B,0.024,198,238,231,4,1,1,8,12,15,0,0,0,222.3333333,2,11.66666667,0
11/9/2021,30C,G,Bluestone,A45B,0.0386,182,167,181,1,6,7,5,6,1,0,0,0,176.6666667,4.666666667,4,0
11/13/2021,30C,G,Bluestone,A45B,0.0163,99,113,92,0,2,1,3,3,5,0,0,0,101.3333333,1,3.666666667,0
10/31/2021,25C,C,Bluestone,A46B,0.0043,107,79,43,3,1,3,0,2,1,0,0,0,76.33333333,2.333333333,1,0
11/5/2021,25C,C,Bluestone,A46B,0.0241,140,108,92,1,0,0,4,2,2,0,0,0,113.3333333,0.333333333,2.666666667,0
11/9/2021,25C,C,Bluestone,A46B,0.0291,117,129,143,0,0,0,1,2,2,0,0,0,129.6666667,0,1.666666667,0
11/13/2021,25C,C,Bluestone,A46B,0.0395,161,184,154,1,2,1,2,1,3,0,0,0,166.3333333,1.333333333,2,0
10/31/2021,25C,A,Bluestone,A47B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,25C,A,Bluestone,A47B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,25C,A,Bluestone,A47B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,25C,A,Bluestone,A47B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,25C,E,Bluestone,A49B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,25C,E,Bluestone,A49B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,25C,E,Bluestone,A49B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,25C,E,Bluestone,A49B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,30C,F,Foreshore,A4F,0.0027,74,71,47,10,6,2,1,1,2,0,0,0,64,6,1.333333333,0
11/5/2021,30C,F,Foreshore,A4F,0.0047,57,55,66,0,0,0,1,1,1,0,0,0,59.33333333,0,1,0
11/9/2021,30C,F,Foreshore,A4F,0.0046,133,160,102,2,3,0,5,3,1,0,0,0,131.6666667,1.666666667,3,0
11/13/2021,30C,F,Foreshore,A4F,0.0405,150,197,206,3,2,2,5,3,4,0,0,0,184.3333333,2.333333333,4,0
10/31/2021,30C,I,Bluestone,A50B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,30C,I,Bluestone,A50B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,30C,I,Bluestone,A50B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,30C,I,Bluestone,A50B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,30C,H,Bluestone,A51B,0.0284,180,229,195,0,0,0,4,5,0,0,0,0,201.3333333,0,3,0
11/5/2021,30C,H,Bluestone,A51B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,30C,H,Bluestone,A51B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,30C,H,Bluestone,A51B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,Control,O,Bluestone,A54B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,Control,O,Bluestone,A54B,0.0062,27,36,41,0,1,0,0,2,3,0,0,0,34.66666667,0.333333333,1.666666667,0
11/9/2021,Control,O,Bluestone,A54B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,Control,O,Bluestone,A54B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,25C,A,Bluestone,A55B,0.0215,155,148,131,0,2,3,1,5,2,0,0,0,144.6666667,1.666666667,2.666666667,0
11/5/2021,25C,A,Bluestone,A55B,0.0081,30,35,41,0,3,2,0,1,1,0,0,0,35.33333333,1.666666667,0.666666667,0
11/9/2021,25C,A,Bluestone,A55B,0.0029,51,38,67,1,0,0,0,1,0,0,0,0,52,0.333333333,0.333333333,0
11/13/2021,25C,A,Bluestone,A55B,0.0319,43,82,64,0,3,1,0,2,0,0,0,0,63,1.333333333,0.666666667,0
10/31/2021,30C,G,Bluestone,A56B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,30C,G,Bluestone,A56B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,30C,G,Bluestone,A56B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,30C,G,Bluestone,A56B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,Control,L,Bluestone,A57B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,Control,L,Bluestone,A57B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,Control,L,Bluestone,A57B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,Control,L,Bluestone,A57B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,Control,M,Bluestone,A59B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,Control,M,Bluestone,A59B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,Control,M,Bluestone,A59B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,Control,M,Bluestone,A59B,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,30C,J,Foreshore,A5F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,30C,J,Foreshore,A5F,0.0045,21,13,19,0,0,0,1,0,0,0,0,0,17.66666667,0,0.333333333,0
11/9/2021,30C,J,Foreshore,A5F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,30C,J,Foreshore,A5F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,30C,I,Bluestone,A60B,0.0063,38,27,26,0,0,0,1,1,2,0,0,0,30.33333333,0,1.333333333,0
11/5/2021,30C,I,Bluestone,A60B,0.0231,139,157,102,0,0,0,3,5,3,0,0,,132.6666667,0,3.666666667,0
11/9/2021,30C,I,Bluestone,A60B,0.0073,22,30,27,0,0,0,0,1,1,0,0,0,26.33333333,0,0.666666667,0
11/13/2021,30C,I,Bluestone,A60B,0.0134,8,23,13,0,0,0,0,0,0,0,0,0,14.66666667,0,0,0
10/31/2021,25C,B,Foreshore,A6F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,25C,B,Foreshore,A6F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,25C,B,Foreshore,A6F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,25C,B,Foreshore,A6F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
