Date,Event,Treatment,Bin,Site,Species,Anemone_ID,Width,Length,Diagonal,Average_Diameter
Nov 9,Post-heat,25C,D,Foreshore,Aggregating ,A13F,29.50,21.90,24.90,25.43
Nov 9,Post-heat,25C,D,Foreshore,Aggregating ,A16F,22.00,9.10,8.80,13.30
Nov 9,Post-heat,25C,D,Scotts,Aggregating ,A41S,31.60,15.60,28.10,25.10
Nov 9,Post-heat,25C,E,Scotts,Aggregating ,A28S,25.90,16.70,24.00,22.20
Nov 9,Post-heat,25C,E,Scotts,Aggregating ,A35S,19.70,16.20,17.20,17.70
Nov 9,Post-heat,25C,E,Bluestone,Aggregating ,A49B,32.60,19.60,23.70,25.30
Nov 9,Post-heat,30C,F,Foreshore,Aggregating ,A26F,23.20,18.60,20.70,20.83
Nov 9,Post-heat,30C,F,Scotts,Aggregating ,A34S,30.70,29.20,29.60,29.83
Nov 9,Post-heat,30C,F,Foreshore,Aggregating ,A4F,16.40,17.10,15.00,16.17
Nov 9,Post-heat,30C,G,Foreshore,Aggregating ,A14F,25.10,17.80,22.30,21.73
Nov 9,Post-heat,30C,G,Bluestone,Aggregating ,A45B,26.10,15.80,17.60,19.83
Nov 9,Post-heat,30C,G,Bluestone,Aggregating ,A56B,54.60,24.50,36.80,38.63
Nov 9,Post-heat,30C,H,Foreshore,Aggregating ,A22F,22.20,25.80,28.60,25.53
Nov 9,Post-heat,30C,H,Scotts,Aggregating ,A37S,35.80,19.00,29.10,27.97
Nov 9,Post-heat,30C,H,Bluestone,Aggregating ,A51B,26.70,16.30,16.60,19.87
Nov 9,Post-heat,30C,I,Scotts,Aggregating ,A38S,31.80,24.60,28.90,28.43
Nov 9,Post-heat,30C,I,Bluestone,Aggregating ,A50B,22.00,19.40,27.30,22.90
Nov 9,Post-heat,30C,I,Bluestone,Aggregating ,A60B,34.30,11.60,13.20,19.70
Nov 9,Post-heat,30C,J,Foreshore,Aggregating ,A1F,37.00,23.50,29.80,30.10
Nov 9,Post-heat,30C,J,Foreshore,Aggregating ,A23F,24.90,20.20,23.50,22.87
Nov 9,Post-heat,30C,J,Foreshore,Aggregating ,A5F,22.00,16.60,18.10,18.90
Nov 9,Post-heat,Control,K,Foreshore,Aggregating ,A18F,25.50,18.10,26.00,23.20
Nov 9,Post-heat,Control,K,Foreshore,Aggregating ,A19F,20.10,24.90,12.00,19.00
Nov 9,Post-heat,Control,K,Scotts,Aggregating ,A39S,19.10,21.60,20.80,20.50
Nov 9,Post-heat,Control,L,Foreshore,Aggregating ,A12F,26.80,14.50,27.70,23.00
Nov 9,Post-heat,Control,L,Foreshore,Aggregating ,A3F,28.20,19.30,27.70,25.07
Nov 9,Post-heat,Control,L,Bluestone,Aggregating ,A57B,19.70,12.60,17.20,16.50
Nov 9,Post-heat,Control,M,Foreshore,Aggregating ,A24F,30.50,24.80,31.90,29.07
Nov 9,Post-heat,Control,M,Bluestone,Aggregating ,A43B,20.00,13.90,14.90,16.27
Nov 9,Post-heat,Control,M,Bluestone,Aggregating ,A59B,15.60,18.40,17.20,17.07
Nov 9,Post-heat,Control,N,Foreshore,Aggregating ,A10F,30.10,15.20,20.00,21.77
Nov 9,Post-heat,Control,N,Scotts,Aggregating ,A29S,36.50,12.90,22.00,23.80
Nov 9,Post-heat,Control,N,Foreshore,Aggregating ,A2F,33.00,20.30,22.70,25.33
Nov 9,Post-heat,Control,O,Foreshore,Aggregating ,A21F,33.50,20.30,24.00,25.93
Nov 9,Post-heat,Control,O,Scotts,Aggregating ,A27S,25.90,14.80,19.50,20.07
Nov 9,Post-heat,Control,O,Bluestone,Aggregating ,A54B,NA,NA,NA,NA
Nov 13,Recovery,25C,A,Foreshore,Aggregating ,A25F,NA,NA,NA,NA
Nov 13,Recovery,25C,A,Bluestone,Aggregating ,A47B,19.50,14.40,17.10,17.00
Nov 13,Recovery,25C,A,Bluestone,Aggregating ,A55B,NA,NA,NA,NA
Nov 13,Recovery,25C,B,Foreshore,Aggregating ,A15F,22.30,17.40,21.10,20.27
Nov 13,Recovery,25C,B,Scotts,Aggregating ,A42S,19.30,17.30,19.30,18.63
Nov 13,Recovery,25C,B,Foreshore,Aggregating ,A6F,44.50,7.20,29.00,26.90
Nov 13,Recovery,25C,C,Scotts,Aggregating ,A30S,31.10,15.40,19.20,21.90
Nov 13,Recovery,25C,C,Bluestone,Aggregating ,A44B,28.30,13.00,18.10,19.80
Nov 13,Recovery,25C,C,Bluestone,Aggregating ,A46B,33.20,30.60,34.20,32.67
Nov 13,Recovery,25C,D,Foreshore,Aggregating ,A13F,24.40,8.40,11.20,14.67
Nov 13,Recovery,25C,D,Foreshore,Aggregating ,A16F,31.60,18.80,28.60,26.33
Nov 13,Recovery,25C,D,Scotts,Aggregating ,A41S,32.40,18.30,30.70,27.13
Nov 13,Recovery,25C,E,Scotts,Aggregating ,A28S,28.00,23.80,23.10,24.97
Nov 13,Recovery,25C,E,Scotts,Aggregating ,A35S,20.50,13.10,12.00,15.20
Nov 13,Recovery,25C,E,Bluestone,Aggregating ,A49B,31.30,26.40,25.30,27.67
Nov 13,Recovery,30C,F,Foreshore,Aggregating ,A26F,34.10,14.00,24.10,24.07
Nov 13,Recovery,30C,F,Scotts,Aggregating ,A34S,25.50,29.40,31.10,28.67
Nov 13,Recovery,30C,F,Foreshore,Aggregating ,A4F,28.30,20.40,23.00,23.90
Nov 13,Recovery,30C,G,Foreshore,Aggregating ,A14F,23.40,21.30,21.00,21.90
Nov 13,Recovery,30C,G,Bluestone,Aggregating ,A45B,25.70,19.20,26.20,23.70
Nov 13,Recovery,30C,G,Bluestone,Aggregating ,A56B,37.00,36.50,43.20,38.90
Nov 13,Recovery,30C,H,Foreshore,Aggregating ,A22F,33.80,21.90,18.60,24.77
Nov 13,Recovery,30C,H,Scotts,Aggregating ,A37S,48.00,18.60,31.50,32.70
Nov 13,Recovery,30C,H,Bluestone,Aggregating ,A51B,20.50,21.30,21.30,21.03
Nov 13,Recovery,30C,I,Scotts,Aggregating ,A38S,27.20,20.00,24.40,23.87
Nov 13,Recovery,30C,I,Bluestone,Aggregating ,A50B,30.50,19.40,25.30,25.07
Nov 13,Recovery,30C,I,Bluestone,Aggregating ,A60B,32.30,24.40,30.20,28.97
Nov 13,Recovery,30C,J,Foreshore,Aggregating ,A1F,29.40,25.90,25.30,26.87
Nov 13,Recovery,30C,J,Foreshore,Aggregating ,A23F,25.30,17.40,23.10,21.93
Nov 13,Recovery,30C,J,Foreshore,Aggregating ,A5F,26.30,18.30,21.90,22.17
Nov 13,Recovery,Control,K,Foreshore,Aggregating ,A18F,25.50,23.00,24.60,24.37
Nov 13,Recovery,Control,K,Foreshore,Aggregating ,A19F,26.40,20.40,25.10,23.97
Nov 13,Recovery,Control,K,Scotts,Aggregating ,A39S,29.00,16.20,24.10,23.10
Nov 13,Recovery,Control,L,Foreshore,Aggregating ,A12F,30.30,21.20,26.40,25.97
Nov 13,Recovery,Control,L,Foreshore,Aggregating ,A3F,31.50,19.00,22.70,24.40
Nov 13,Recovery,Control,L,Bluestone,Aggregating ,A57B,23.10,18.50,21.60,21.07
Nov 13,Recovery,Control,M,Foreshore,Aggregating ,A24F,36.20,20.70,24.40,27.10
Nov 13,Recovery,Control,M,Bluestone,Aggregating ,A43B,23.00,13.60,20.40,19.00
Nov 13,Recovery,Control,M,Bluestone,Aggregating ,A59B,20.50,11.60,18.60,16.90
Nov 13,Recovery,Control,N,Foreshore,Aggregating ,A10F,30.40,18.20,23.10,23.90
Nov 13,Recovery,Control,N,Scotts,Aggregating ,A29S,23.90,16.40,17.40,19.23
Nov 13,Recovery,Control,N,Foreshore,Aggregating ,A2F,24.60,25.30,22.00,23.97
Nov 13,Recovery,Control,O,Foreshore,Aggregating ,A21F,17.70,25.80,26.40,23.30
Nov 13,Recovery,Control,O,Scotts,Aggregating ,A27S,22.40,15.50,18.00,18.63
Nov 13,Recovery,Control,O,Bluestone,Aggregating ,A54B,24.00,10.20,17.20,17.13
